genre,weighted_rating,sum_votes
Animation,6.402655889145497,52560634
Horror,5.578993919292427,61159931
Romance,6.2475,70529297
Fantasy,5.9809667673716005,72714474
Mystery,6.143852167732764,75817486
Sci-Fi,6.108263473053892,105909042
Thriller,6.164016563146998,122020672
Comedy,5.973238799215569,198911173
Adventure,6.222504816955683,225297062
Action,6.108194154488518,270834158
Drama,6.544507766230864,315130479
